QUESTION,QUESTION_TYPE,Answer1ENG,Answer2ENG,Answer3ENG,Answer4ENG,Answer5ENG,Answer6ENG,Answer7ENG,PositiveENG,NegativeENG,AnscountENG
Q35,1,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Don't know,Not applicable,Most positive or least negative answers <br />(%),Least positive or most negative answers <br />(%),Total responses
Q36,2,Always/Almost always,Often,Sometimes,Rarely,Never/Almost never,Don't know,Not applicable,Most positive or least negative answers <br />(%),Least positive or most negative answers <br />(%),Total responses
Q37,1,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Don't know,Not applicable,Most positive or least negative answers <br />(%),Least positive or most negative answers <br />(%),Total responses
Q38,1,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Don't know,Not applicable,Most positive or least negative answers <br />(%),Least positive or most negative answers <br />(%),Total responses
Q39,1,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Don't know,Not applicable,Most positive or least negative answers <br />(%),Least positive or most negative answers <br />(%),Total responses
Q40,1,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Don't know,Not applicable,Most positive or least negative answers <br />(%),Least positive or most negative answers <br />(%),Total responses
Q41,1,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Don't know,Not applicable,Most positive or least negative answers <br />(%),Least positive or most negative answers <br />(%),Total responses
Q42,1,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Don't know,Not applicable,Most positive or least negative answers <br />(%),Least positive or most negative answers <br />(%),Total responses
Q43a,3,Not at all,To a small extent,To a moderate extent,To a large extent,To a very large extent,Don't know,Not applicable,Most positive or least negative answers <br />(%),Least positive or most negative answers <br />(%),Total responses
Q43b,3,Not at all,To a small extent,To a moderate extent,To a large extent,To a very large extent,Don't know,Not applicable,Most positive or least negative answers <br />(%),Least positive or most negative answers <br />(%),Total responses
Q43c,3,Not at all,To a small extent,To a moderate extent,To a large extent,To a very large extent,Don't know,Not applicable,Most positive or least negative answers <br />(%),Least positive or most negative answers <br />(%),Total responses
Q43d,3,Not at all,To a small extent,To a moderate extent,To a large extent,To a very large extent,Don't know,Not applicable,Most positive or least negative answers <br />(%),Least positive or most negative answers <br />(%),Total responses
Q44,1,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Don't know,Not applicable,Most positive or least negative answers <br />(%),Least positive or most negative answers <br />(%),Total responses
Q45,1,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Don't know,Not applicable,Most positive or least negative answers <br />(%),Least positive or most negative answers <br />(%),Total responses
Q46,1,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Don't know,Not applicable,Most positive or least negative answers <br />(%),Least positive or most negative answers <br />(%),Total responses
Q47,1,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Don't know,Not applicable,Most positive or least negative answers <br />(%),Least positive or most negative answers <br />(%),Total responses
Q48,2,Always/Almost always,Often,Sometimes,Rarely,Never/Almost never,Don't know,Not applicable,Most positive or least negative answers <br />(%),Least positive or most negative answers <br />(%),Total responses
Q49,1,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Don't know,Not applicable,Most positive or least negative answers <br />(%),Least positive or most negative answers <br />(%),Total responses
Q50,1,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Don't know,Not applicable,Most positive or least negative answers <br />(%),Least positive or most negative answers <br />(%),Total responses
Q51,1,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Don't know,Not applicable,Most positive or least negative answers <br />(%),Least positive or most negative answers <br />(%),Total responses
Q52,1,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Don't know,Not applicable,Most positive or least negative answers <br />(%),Least positive or most negative answers <br />(%),Total responses
Q53,1,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Don't know,Not applicable,Most positive or least negative answers <br />(%),Least positive or most negative answers <br />(%),Total responses
Q54,1,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Don't know,Not applicable,Most positive or least negative answers <br />(%),Least positive or most negative answers <br />(%),Total responses
Q55,1,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Don't know,Not applicable,Most positive or least negative answers <br />(%),Least positive or most negative answers <br />(%),Total responses
D56_1,4,Yes,No,Unsure,,,,,,,Total responses
D56_2,5,"Yes, to retire","Yes, to pursue another position within my department or agency","Yes, to pursue a position in another department or agency","Yes, to pursue a position outside the federal public service","Yes, end of my term, casual or student employment","Yes, other reason
Specify other reason",,,,Total responses
Q57,6,Yes,No,,,,,,,,Total responses
Q58a,6,Yes,No,,,,,,,,Total responses
Q58b,6,Yes,No,,,,,,,,Total responses
Q58c,6,Yes,No,,,,,,,,Total responses
Q58d,6,Yes,No,,,,,,,,Total responses
Q58e,6,Yes,No,,,,,,,,Total responses
Q58f,6,Yes,No,,,,,,,,Total responses
Q58g,6,Yes,No,,,,,,,,Total responses
Q59a,6,Yes,No,,,,,,,,Total responses
Q59b,6,Yes,No,,,,,,,,Total responses
Q59c,6,Yes,No,,,,,,,,Total responses
Q59d,6,Yes,No,,,,,,,,Total responses
Q59e,6,Yes,No,,,,,,,,Total responses
Q59f,6,Yes,No,,,,,,,,Total responses
Q59g,6,Yes,No,,,,,,,,Total responses
Q59h,6,Yes,No,,,,,,,,Total responses
Q59i,6,Yes,No,,,,,,,,Total responses
Q59j,6,Yes,No,,,,,,,,Total responses
Q59k,6,Yes,No,,,,,,,,Total responses
Q59l,6,Yes,No,,,,,,,,Total responses
Q59m,6,Yes,No,,,,,,,,Total responses
Q60a,6,Yes,No,,,,,,,,Total responses
Q60b,6,Yes,No,,,,,,,,Total responses
Q60c,6,Yes,No,,,,,,,,Total responses
Q60d,6,Yes,No,,,,,,,,Total responses
Q60e,6,Yes,No,,,,,,,,Total responses
Q60f,6,Yes,No,,,,,,,,Total responses
Q60g,6,Yes,No,,,,,,,,Total responses
Q60h,6,Yes,No,,,,,,,,Total responses
Q60i,6,Yes,No,,,,,,,,Total responses
Q61a,6,Yes,No,,,,,,,,Total responses
Q61b,6,Yes,No,,,,,,,,Total responses
Q61c,6,Yes,No,,,,,,,,Total responses
Q61d,6,Yes,No,,,,,,,,Total responses
Q61e,6,Yes,No,,,,,,,,Total responses
Q61f,6,Yes,No,,,,,,,,Total responses
Q61g,6,Yes,No,,,,,,,,Total responses
Q61h,6,Yes,No,,,,,,,,Total responses
Q61i,6,Yes,No,,,,,,,,Total responses
Q61j,6,Yes,No,,,,,,,,Total responses
Q61k,6,Yes,No,,,,,,,,Total responses
Q61l,6,Yes,No,,,,,,,,Total responses
Q61m,6,Yes,No,,,,,,,,Total responses
Q61n,6,Yes,No,,,,,,,,Total responses
Q61o,6,Yes,No,,,,,,,,Total responses
Q61p,6,Yes,No,,,,,,,,Total responses
Q62,1,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Don't know,Not applicable,Most positive or least negative answers <br />(%),Least positive or most negative answers <br />(%),Total responses
Q63,1,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Don't know,Not applicable,Most positive or least negative answers <br />(%),Least positive or most negative answers <br />(%),Total responses
Q64,6,Yes,No,,,,,,,,Total responses
Q65a,6,Yes,No,,,,,,,,Total responses
Q65b,6,Yes,No,,,,,,,,Total responses
Q65c,6,Yes,No,,,,,,,,Total responses
Q65d,6,Yes,No,,,,,,,,Total responses
Q65e,6,Yes,No,,,,,,,,Total responses
Q65f,6,Yes,No,,,,,,,,Total responses
Q65g,6,Yes,No,,,,,,,,Total responses
Q66a,6,Yes,No,,,,,,,,Total responses
Q66b,6,Yes,No,,,,,,,,Total responses
Q66c,6,Yes,No,,,,,,,,Total responses
Q66d,6,Yes,No,,,,,,,,Total responses
Q66e,6,Yes,No,,,,,,,,Total responses
Q66f,6,Yes,No,,,,,,,,Total responses
Q66g,6,Yes,No,,,,,,,,Total responses
Q66h,6,Yes,No,,,,,,,,Total responses
Q66i,6,Yes,No,,,,,,,,Total responses
Q66j,6,Yes,No,,,,,,,,Total responses
Q66k,6,Yes,No,,,,,,,,Total responses
Q66l,6,Yes,No,,,,,,,,Total responses
Q66m,6,Yes,No,,,,,,,,Total responses
Q66n,6,Yes,No,,,,,,,,Total responses
Q67a,6,Yes,No,,,,,,,,Total responses
Q67b,6,Yes,No,,,,,,,,Total responses
Q67c,6,Yes,No,,,,,,,,Total responses
Q67d,6,Yes,No,,,,,,,,Total responses
Q67e,6,Yes,No,,,,,,,,Total responses
Q67f,6,Yes,No,,,,,,,,Total responses
Q67g,6,Yes,No,,,,,,,,Total responses
Q67h,6,Yes,No,,,,,,,,Total responses
Q67i,6,Yes,No,,,,,,,,Total responses
Q68a,6,Yes,No,,,,,,,,Total responses
Q68b,6,Yes,No,,,,,,,,Total responses
Q68c,6,Yes,No,,,,,,,,Total responses
Q68d,6,Yes,No,,,,,,,,Total responses
Q68e,6,Yes,No,,,,,,,,Total responses
Q68f,6,Yes,No,,,,,,,,Total responses
Q68g,6,Yes,No,,,,,,,,Total responses
Q68h,6,Yes,No,,,,,,,,Total responses
Q68i,6,Yes,No,,,,,,,,Total responses
Q68j,6,Yes,No,,,,,,,,Total responses
Q68k,6,Yes,No,,,,,,,,Total responses
Q68l,6,Yes,No,,,,,,,,Total responses
Q68m,6,Yes,No,,,,,,,,Total responses
Q68n,6,Yes,No,,,,,,,,Total responses
Q68o,6,Yes,No,,,,,,,,Total responses
Q68p,6,Yes,No,,,,,,,,Total responses
Q69,1,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Don't know,Not applicable,Most positive or least negative answers <br />(%),Least positive or most negative answers <br />(%),Total responses
Q70,1,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Don't know,Not applicable,Most positive or least negative answers <br />(%),Least positive or most negative answers <br />(%),Total responses
Q71,1,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Don't know,Not applicable,Most positive or least negative answers <br />(%),Least positive or most negative answers <br />(%),Total responses
Q72a,3,Not at all,To a small extent,To a moderate extent,To a large extent,To a very large extent,Don't know,Not applicable,Most positive or least negative answers <br />(%),Least positive or most negative answers <br />(%),Total responses
Q72b,3,Not at all,To a small extent,To a moderate extent,To a large extent,To a very large extent,Don't know,Not applicable,Most positive or least negative answers <br />(%),Least positive or most negative answers <br />(%),Total responses
Q72c,3,Not at all,To a small extent,To a moderate extent,To a large extent,To a very large extent,Don't know,Not applicable,Most positive or least negative answers <br />(%),Least positive or most negative answers <br />(%),Total responses
Q72d,3,Not at all,To a small extent,To a moderate extent,To a large extent,To a very large extent,Don't know,Not applicable,Most positive or least negative answers <br />(%),Least positive or most negative answers <br />(%),Total responses
Q72e,3,Not at all,To a small extent,To a moderate extent,To a large extent,To a very large extent,Don't know,Not applicable,Most positive or least negative answers <br />(%),Least positive or most negative answers <br />(%),Total responses
Q72f,3,Not at all,To a small extent,To a moderate extent,To a large extent,To a very large extent,Don't know,Not applicable,Most positive or least negative answers <br />(%),Least positive or most negative answers <br />(%),Total responses
Q72g,3,Not at all,To a small extent,To a moderate extent,To a large extent,To a very large extent,Don't know,Not applicable,Most positive or least negative answers <br />(%),Least positive or most negative answers <br />(%),Total responses
Q72h,3,Not at all,To a small extent,To a moderate extent,To a large extent,To a very large extent,Don't know,Not applicable,Most positive or least negative answers <br />(%),Least positive or most negative answers <br />(%),Total responses
Q72i,3,Not at all,To a small extent,To a moderate extent,To a large extent,To a very large extent,Don't know,Not applicable,Most positive or least negative answers <br />(%),Least positive or most negative answers <br />(%),Total responses
Q72j,3,Not at all,To a small extent,To a moderate extent,To a large extent,To a very large extent,Don't know,Not applicable,Most positive or least negative answers <br />(%),Least positive or most negative answers <br />(%),Total responses
Q72k,3,Not at all,To a small extent,To a moderate extent,To a large extent,To a very large extent,Don't know,Not applicable,Most positive or least negative answers <br />(%),Least positive or most negative answers <br />(%),Total responses
Q72l,3,Not at all,To a small extent,To a moderate extent,To a large extent,To a very large extent,Don't know,Not applicable,Most positive or least negative answers <br />(%),Least positive or most negative answers <br />(%),Total responses
Q72m,3,Not at all,To a small extent,To a moderate extent,To a large extent,To a very large extent,Don't know,Not applicable,Most positive or least negative answers <br />(%),Least positive or most negative answers <br />(%),Total responses
Q72n,3,Not at all,To a small extent,To a moderate extent,To a large extent,To a very large extent,Don't know,Not applicable,Most positive or least negative answers <br />(%),Least positive or most negative answers <br />(%),Total responses
Q72o,3,Not at all,To a small extent,To a moderate extent,To a large extent,To a very large extent,Don't know,Not applicable,Most positive or least negative answers <br />(%),Least positive or most negative answers <br />(%),Total responses
Q72p,3,Not at all,To a small extent,To a moderate extent,To a large extent,To a very large extent,Don't know,Not applicable,Most positive or least negative answers <br />(%),Least positive or most negative answers <br />(%),Total responses
Q72q,3,Not at all,To a small extent,To a moderate extent,To a large extent,To a very large extent,Don't know,Not applicable,Most positive or least negative answers <br />(%),Least positive or most negative answers <br />(%),Total responses
Q72r,3,Not at all,To a small extent,To a moderate extent,To a large extent,To a very large extent,Don't know,Not applicable,Most positive or least negative answers <br />(%),Least positive or most negative answers <br />(%),Total responses
Q72s,3,Not at all,To a small extent,To a moderate extent,To a large extent,To a very large extent,Don't know,Not applicable,Most positive or least negative answers <br />(%),Least positive or most negative answers <br />(%),Total responses
Q72t,3,Not at all,To a small extent,To a moderate extent,To a large extent,To a very large extent,Don't know,Not applicable,Most positive or least negative answers <br />(%),Least positive or most negative answers <br />(%),Total responses
Q72u,3,Not at all,To a small extent,To a moderate extent,To a large extent,To a very large extent,Don't know,Not applicable,Most positive or least negative answers <br />(%),Least positive or most negative answers <br />(%),Total responses
Q72v,3,Not at all,To a small extent,To a moderate extent,To a large extent,To a very large extent,Don't know,Not applicable,Most positive or least negative answers <br />(%),Least positive or most negative answers <br />(%),Total responses
Q73,7,Very low,Low,Moderate,High,Very High,Don't know,Not applicable,Most positive or least negative answers <br />(%),Least positive or most negative answers <br />(%),Total responses
Q74,2,Always/Almost always,Often,Sometimes,Rarely,Never/Almost never,Don't know,Not applicable,Most positive or least negative answers <br />(%),Least positive or most negative answers <br />(%),Total responses
Q75,1,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Don't know,Not applicable,Most positive or least negative answers <br />(%),Least positive or most negative answers <br />(%),Total responses
Q76,8,Excellent,Very good,Good,Fair,Poor,,,,,Total responses
Q77,1,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Don't know,Not applicable,Most positive or least negative answers <br />(%),Least positive or most negative answers <br />(%),Total responses
Q78,1,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Don't know,Not applicable,Most positive or least negative answers <br />(%),Least positive or most negative answers <br />(%),Total responses
Q79,1,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Don't know,Not applicable,Most positive or least negative answers <br />(%),Least positive or most negative answers <br />(%),Total responses
Q80,1,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Don't know,Not applicable,Most positive or least negative answers <br />(%),Least positive or most negative answers <br />(%),Total responses
Q82,1,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Don't know,Not applicable,Most positive or least negative answers <br />(%),Least positive or most negative answers <br />(%),Total responses
Q83,6,Yes,No,,,,,,,,Total responses
Q84,6,Yes,No,,,,,,,,Total responses
Q85,6,Yes,No,,,,,,,,Total responses
Q86,1,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Don't know,Not applicable,Most positive or least negative answers <br />(%),Least positive or most negative answers <br />(%),Total responses
Q87,1,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Don't know,Not applicable,Most positive or least negative answers <br />(%),Least positive or most negative answers <br />(%),Total responses
Q88,9,Yes,No,Not sure,Not applicable,,,,,,Total responses
Q89,6,Yes,No,,,,,,,,Total responses
Q90,1,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Don't know,Not applicable,Most positive or least negative answers <br />(%),Least positive or most negative answers <br />(%),Total responses
Q91,1,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Don't know,Not applicable,Most positive or least negative answers <br />(%),Least positive or most negative answers <br />(%),Total responses
Q92,3,Not at all,To a small extent,To a moderate extent,To a large extent,To a very large extent,Don't know,Not applicable,Most positive or least negative answers <br />(%),Least positive or most negative answers <br />(%),Total responses
Q93,10,Working on-site at a Government of Canada all of the time,Working remotely all of the time,Combination of working remotely and at a Government of Canada site,,,,,,,Total responses
Q94,11,20% (1 out of 5 days),40% (2 out of 5 days),60% (3 out of 5 days),80% (4 out of 5 days),"Other
Please specify",,,,,Total responses
Q95,6,Yes,No,,,,,,,,Total responses
Q96a,6,Yes,No,,,,,,,,Total responses
Q96b,6,Yes,No,,,,,,,,Total responses
Q96c,6,Yes,No,,,,,,,,Total responses
Q96d,6,Yes,No,,,,,,,,Total responses
Q96e,6,Yes,No,,,,,,,,Total responses
Q96f,6,Yes,No,,,,,,,,Total responses
Q96g,6,Yes,No,,,,,,,,Total responses
Q96h,6,Yes,No,,,,,,,,Total responses
Q96i,6,Yes,No,,,,,,,,Total responses
Q96j,6,Yes,No,,,,,,,,Total responses
Q96k,6,Yes,No,,,,,,,,Total responses
Q96l,6,Yes,No,,,,,,,,Total responses
Q97,1,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Don't know,Not applicable,Most positive or least negative answers <br />(%),Least positive or most negative answers <br />(%),Total responses
Q98,1,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Don't know,Not applicable,Most positive or least negative answers <br />(%),Least positive or most negative answers <br />(%),Total responses
Q99,1,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Don't know,Not applicable,Most positive or least negative answers <br />(%),Least positive or most negative answers <br />(%),Total responses
